0.96, 0.1, 40.37
0.96, 0.1, 40.37
0.96, 0.1, 40.37
0.96, 0.1, 40.37
0.96, 0.1, 40.37
0.96, 0.1, 40.37
0.96, 0.1, 40.37
0.96, 0.1, 40.37
0.96, 0.1, 40.37
0.96, 0.1, 40.37
0.96, 0.1, 40.37
0.96, 0.1, 40.37
0.15, 357.95, 267.48
0.16, 357.94, 267.48
0.15, 357.94, 267.47
0.16, 357.93, 267.47
0.15, 357.93, 267.46
0.15, 357.93, 267.46
0.16, 357.93, 267.46
0.16, 357.93, 267.46
0.16, 357.93, 267.45
0.16, 357.93, 267.45
0.16, 357.93, 267.45
0.16, 357.93, 267.44
0.16, 357.93, 267.44
1.53, 358.73, 199.32
1.53, 358.73, 199.32
1.52, 358.73, 199.32
1.52, 358.73, 199.32
1.52, 358.73, 199.32
1.52, 358.72, 199.32
1.52, 358.72, 199.32
1.52, 358.72, 199.33
1.52, 358.72, 199.33
1.52, 358.72, 199.33
1.51, 358.72, 199.33
1.51, 358.72, 199.33
1.51, 358.72, 199.33
1.48, 358.7, 199.34
1.48, 358.7, 199.34
1.48, 358.7, 199.34
1.48, 358.7, 199.34
1.48, 358.7, 199.34
1.47, 358.7, 199.34
1.47, 358.7, 199.34
1.47, 358.7, 199.34
1.47, 358.7, 199.34
1.47, 358.7, 199.34
1.47, 358.7, 199.34
1.47, 358.7, 199.34
1.47, 358.7, 199.34
0.97, 0.15, 41.75
0.97, 0.15, 41.75
0.97, 0.15, 41.75
0.96, 0.15, 41.75
0.96, 0.15, 41.75
0.96, 0.15, 41.75
0.96, 0.15, 41.74
0.96, 0.15, 41.74
0.96, 0.15, 41.74
0.96, 0.15, 41.74
0.96, 0.15, 41.74
0.96, 0.15, 41.74
0.96, 0.15, 41.74
